product_id,name,description,category,price,brand,rating
P2053,Advanced Sweater,High-quality sweater designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,225.0,TastyBites,4.6
P2054,Modern Foam Roller,High-quality foam roller designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,51.3,OfficeMax,3.8
P2055,Advanced Toy Set,High-quality toy set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,62.58,EcoWear,4.7
P2056,Durable Charger,High-quality charger designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,169.39,GreenGrow,3.9
P2057,Advanced Jeans,High-quality jeans designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,220.41,FitLife,4.2
P2058,Classic Self-Help Book,High-quality self-help book designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,200.08,GreenGrow,3.7
P2059,Professional Toy Set,High-quality toy set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,150.89,ReadMore,4.0
P2060,Advanced Lawn Mower,High-quality lawn mower designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,174.0,HomeStyle,4.0
P2061,Modern Self-Help Book,High-quality self-help book designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,100.82,TechPro,4.7
P2062,Wireless Protein Powder,High-quality protein powder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,90.23,PlayFun,4.0
P2063,Wireless Outdoor Furniture,High-quality outdoor furniture designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,144.22,AutoCare,4.0
P2064,Compact Serum,High-quality serum designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,60.96,EcoWear,4.4
P2065,Deluxe Serum,High-quality serum designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,86.33,FitLife,4.8
P2066,Wireless Jeans,High-quality jeans designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,256.37,TechPro,4.4
P2067,Ergonomic Collar,High-quality collar designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,71.69,PetLove,3.6
P2068,Durable Serum,High-quality serum designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,199.62,AutoCare,3.7
P2069,Essential Educational Toy,High-quality educational toy designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,258.57,TastyBites,3.7
P2070,Durable Desk Organizer,High-quality desk organizer designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,115.51,PlayFun,3.5
P2071,Ergonomic Foam Roller,High-quality foam roller designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,229.58,HomeStyle,3.7
P2072,Deluxe Dish Set,High-quality dish set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,201.22,PetLove,5.0
P2073,Wireless Spice Set,High-quality spice set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,21.71,ReadMore,4.6
P2074,Professional Resistance Bands,High-quality resistance bands designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,77.86,ReadMore,4.5
P2075,Classic File Cabinet,High-quality file cabinet designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,276.18,AutoCare,4.8
P2076,Portable Monitor,High-quality monitor designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,214.07,EcoWear,4.3
P2077,Wireless Shampoo,High-quality shampoo designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,167.85,PetLove,3.8
P2078,Modern Outdoor Furniture,High-quality outdoor furniture designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,199.46,PetLove,4.8
P2079,Advanced File Cabinet,High-quality file cabinet designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,159.74,FitLife,4.0
P2080,Compact Biography,High-quality biography designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,11.9,PetLove,4.8
P2081,Deluxe Phone Holder,High-quality phone holder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,159.21,EcoWear,3.9
P2082,Deluxe Coffee Maker,High-quality coffee maker designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,184.58,ReadMore,4.7
P2083,Essential BBQ Grill,High-quality bbq grill designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,218.86,ReadMore,4.2
P2084,Compact Phone Holder,High-quality phone holder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,56.75,PetLove,4.8
P2085,Essential Headphones,High-quality headphones designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,176.3,HomeStyle,3.7
P2086,Durable Plant Pot,High-quality plant pot designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,52.58,PetLove,3.7
P2087,Durable Knife Set,High-quality knife set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,291.07,PetLove,4.5
P2088,Wireless Protein Powder,High-quality protein powder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,284.69,PureGlow,3.8
P2089,Compact Collar,High-quality collar designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,73.61,HomeStyle,4.1
P2090,Ergonomic Coffee Maker,High-quality coffee maker designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,201.29,PetLove,3.9
P2091,Portable Snack Box,High-quality snack box designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,182.98,AutoCare,3.6
P2092,Modern Puzzle,High-quality puzzle designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,14.79,EcoWear,4.3
P2093,Portable File Cabinet,High-quality file cabinet designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,185.59,HomeStyle,3.8
P2094,Ergonomic Pet Food,High-quality pet food designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,155.96,OfficeMax,3.7
P2095,Portable Phone Holder,High-quality phone holder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,166.38,PetLove,3.5
P2096,Portable BBQ Grill,High-quality bbq grill designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,131.99,OfficeMax,4.8
P2097,Durable Spice Set,High-quality spice set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,282.13,FitLife,4.2
P2098,Classic Educational Toy,High-quality educational toy designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,273.27,TastyBites,4.8
P2099,Professional Collar,High-quality collar designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,83.8,HomeStyle,4.6
P2100,Advanced Shorts,High-quality shorts designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,64.81,PureGlow,4.6
P2101,Ergonomic Speaker,High-quality speaker designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,12.08,OfficeMax,4.5
P2102,Classic Spice Set,High-quality spice set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,40.9,ReadMore,4.1
P2103,Advanced Bed,High-quality bed designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,132.82,OfficeMax,4.0
P2104,Portable Body Lotion,High-quality body lotion designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,129.83,FitLife,4.7
P2105,Deluxe Dash Cam,High-quality dash cam designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,170.91,OfficeMax,3.9
P2106,Ergonomic Shampoo,High-quality shampoo designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,125.45,TastyBites,3.7
P2107,Professional Garden Tool Set,High-quality garden tool set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,237.09,AutoCare,4.9
P2108,Essential Shorts,High-quality shorts designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,242.24,ReadMore,4.4
P2109,Wireless Plant Pot,High-quality plant pot designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,122.83,HomeStyle,4.5
P2110,Deluxe Hoodie,High-quality hoodie designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,136.25,PetLove,3.6
P2111,Classic Yoga Mat,High-quality yoga mat designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,20.94,PetLove,4.1
P2112,Ergonomic Card Game,High-quality card game designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,93.07,OfficeMax,4.9
P2113,Deluxe Charger,High-quality charger designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,13.1,AutoCare,4.8
P2114,Advanced Notebook,High-quality notebook designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,237.34,TechPro,4.3
P2115,Essential Energy Bars,High-quality energy bars designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,205.46,HomeStyle,4.0
P2116,Premium Garden Tool Set,High-quality garden tool set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,299.07,EcoWear,4.7
P2117,Portable Biography,High-quality biography designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,179.95,PlayFun,4.3
P2118,Wireless Coffee Beans,High-quality coffee beans designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,169.37,EcoWear,4.6
P2119,Ergonomic Pen Set,High-quality pen set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,289.34,ReadMore,3.9
P2120,Essential Collar,High-quality collar designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,176.71,PlayFun,3.9
P2121,Durable Board Game,High-quality board game designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,30.98,OfficeMax,3.9
P2122,Durable Shoes,High-quality shoes designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,245.8,OfficeMax,4.4
P2123,Compact Spice Set,High-quality spice set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,150.24,PetLove,3.9
